iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,positive_rate,tests_units,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index
ABW,North America,Aruba,2020-11-03,4524.0,5.0,14.857,38.0,0.0,0.286,42373.04,46.831,139.156,355.919,0.0,2.676,,,,,,,,,,,,,,,,,,37.04,106766.0,584.8,41.2,13.085,7.452,35973.781,,,11.62,,,,,76.29,
AFG,Asia,Afghanistan,2020-11-03,41728.0,95.0,99.429,1544.0,3.0,3.143,1071.918,2.44,2.554,39.663,0.077,0.081,,,,,,,,,,,,,,,,,,,38928341.0,54.422,18.6,2.581,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.498
AGO,Africa,Angola,2020-11-03,11035.0,230.0,236.286,286.0,2.0,2.571,335.755,6.998,7.189,8.702,0.061,0.078,,,,,,,,,,,,,,,,,,,32866268.0,23.89,16.8,2.405,1.362,5819.495,,276.045,3.94,,,26.664,,61.15,0.581
AIA,North America,Anguilla,2020-11-03,3.0,0.0,0.0,,0.0,0.0,199.973,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,15002.0,,,,,,,,,,,,,81.88,
ALB,Europe,Albania,2020-11-03,21523.0,321.0,296.857,527.0,9.0,6.714,7478.977,111.544,103.154,183.126,3.127,2.333,,,,,,,,,,,,,,,,,,,2877800.0,104.871,38.0,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.785
AND,Europe,Andorra,2020-11-03,4888.0,63.0,80.429,75.0,0.0,0.429,63262.797,815.376,1040.944,970.685,0.0,5.547,,,,,,,,,,,,,,,,,,,77265.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.858
ARE,Asia,United Arab Emirates,2020-11-03,135141.0,1234.0,1272.429,497.0,1.0,2.429,13663.856,124.767,128.653,50.251,0.101,0.246,,,,,,,,,13465166.0,96994.0,1361.438,9.807,114797.0,11.607,90.219,0.011000000000000001,tests performed,,9890400.0,112.442,34.0,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.863
ARG,South America,Argentina,2020-11-03,1183118.0,9598.0,11547.143,31623.0,483.0,331.714,26177.623,212.365,255.492,699.689,10.687,7.339,,,,,,,,,,,,,,,,,,,45195777.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.825
ARM,Asia,Armenia,2020-11-03,94776.0,1328.0,2052.286,1413.0,22.0,27.286,31983.974,448.159,692.583,476.844,7.424,9.208,,,,,,,,,,,,,,,,,,,2963234.0,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.755
ATG,North America,Antigua and Barbuda,2020-11-03,128.0,0.0,0.571,3.0,0.0,0.0,1307.083,0.0,5.835,30.635,0.0,0.0,,,,,,,,,,,,,,,,,,,97928.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.78
AUS,Oceania,Australia,2020-11-03,27602.0,7.0,10.714,907.0,0.0,0.286,1082.436,0.275,0.42,35.569,0.0,0.011,,,,,,,,,,,,,,,,,,,25499881.0,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13.0,16.5,,3.84,83.44,0.939
AUT,Europe,Austria,2020-11-03,114270.0,3160.0,4174.571,1135.0,21.0,21.0,12687.644,350.862,463.512,126.021,2.332,2.332,,,,,,,,,,,,,,,,,,,9006400.0,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,,7.37,81.54,0.908
AZE,Asia,Azerbaijan,2020-11-03,57040.0,596.0,936.286,753.0,13.0,10.571,5625.704,58.782,92.343,74.266,1.282,1.043,,,,,,,,,,,,,,,,,,,10139175.0,119.309,32.4,6.018,3.871,15847.419,,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.757
BDI,Africa,Burundi,2020-11-03,589.0,0.0,4.571,1.0,0.0,0.0,49.534,0.0,0.384,0.084,0.0,0.0,,,,,,,,,,,,,,,,,,,11890781.0,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58,0.417
BEL,Europe,Belgium,2020-11-01,445795.0,5097.0,14150.143,11734.0,120.0,127.0,38465.036,439.79,1220.933,1012.458,10.354,10.958,,,,,,,,,,,,,,,,,,56.48,11589616.0,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,,5.64,81.63,0.916
BEN,Africa,Benin,2020-11-03,2683.0,40.0,18.0,41.0,0.0,0.0,221.311,3.299,1.485,3.382,0.0,0.0,,,,,,,,,,,,,,,,,,,12123198.0,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.515
BES,North America,Bonaire Sint Eustatius and Saba,2020-11-03,153.0,0.0,0.429,3.0,0.0,0.0,5835.018,0.0,16.345,114.412,0.0,0.0,,,,,,,,,,,,,,,,,,,26221.0,,,,,,,,,,,,,77.79,
BFA,Africa,Burkina Faso,2020-11-03,2517.0,17.0,8.286,67.0,0.0,0.0,120.412,0.813,0.396,3.205,0.0,0.0,,,,,,,,,,,,,,,,,,,20903278.0,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.423
BGD,Asia,Bangladesh,2020-11-03,410988.0,1736.0,1533.857,5966.0,25.0,21.143,2495.534,10.541,9.314,36.226,0.152,0.128,,,,,,,,,,,,,,,,,,,164689383.0,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.608
BGR,Europe,Bulgaria,2020-11-03,56496.0,2427.0,2337.714,1349.0,51.0,30.429,8130.74,349.287,336.437,194.144,7.34,4.379,,,,,,,,,735326.0,7910.0,105.826,1.138,9401.0,1.353,4.021,0.249,tests performed,,6948445.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.813
